CEDAR
Epoch [63/150], Loss: 0.0613 ;  Train Accuracy: 75.28% ; Test Accuracy: 62.31%
Epoch [64/150], Loss: 0.0606 ;  Train Accuracy: 76.09% ; Test Accuracy: 62.12%
Epoch [65/150], Loss: 0.0611 ;  Train Accuracy: 76.61% ; Test Accuracy: 60.80%
Epoch [66/150], Loss: 0.0596 ;  Train Accuracy: 77.65% ; Test Accuracy: 67.05%
Epoch [67/150], Loss: 0.0601 ;  Train Accuracy: 76.28% ; Test Accuracy: 59.47%
Epoch [68/150], Loss: 0.0608 ;  Train Accuracy: 76.80% ; Test Accuracy: 62.31%
Epoch [69/150], Loss: 0.0593 ;  Train Accuracy: 77.18% ; Test Accuracy: 56.44%
Epoch [70/150], Loss: 0.0595 ;  Train Accuracy: 77.32% ; Test Accuracy: 59.28%
Epoch [71/150], Loss: 0.0599 ;  Train Accuracy: 77.70% ; Test Accuracy: 58.71%
Epoch [72/150], Loss: 0.0596 ;  Train Accuracy: 77.41% ; Test Accuracy: 60.80%
Epoch [73/150], Loss: 0.0597 ;  Train Accuracy: 76.52% ; Test Accuracy: 61.74%
Epoch [74/150], Loss: 0.0576 ;  Train Accuracy: 77.51% ; Test Accuracy: 58.33%
Epoch [75/150], Loss: 0.0576 ;  Train Accuracy: 76.89% ; Test Accuracy: 61.17%
Epoch [76/150], Loss: 0.0569 ;  Train Accuracy: 78.27% ; Test Accuracy: 57.77%
Epoch [77/150], Loss: 0.0573 ;  Train Accuracy: 77.84% ; Test Accuracy: 68.37%
Epoch [78/150], Loss: 0.0593 ;  Train Accuracy: 78.03% ; Test Accuracy: 63.83%
Epoch [79/150], Loss: 0.0570 ;  Train Accuracy: 79.12% ; Test Accuracy: 56.44%
Epoch [80/150], Loss: 0.0552 ;  Train Accuracy: 80.11% ; Test Accuracy: 74.24%
Epoch [81/150], Loss: 0.0561 ;  Train Accuracy: 79.02% ; Test Accuracy: 59.47%
Epoch [82/150], Loss: 0.0550 ;  Train Accuracy: 80.07% ; Test Accuracy: 68.75%
Epoch [83/150], Loss: 0.0539 ;  Train Accuracy: 79.40% ; Test Accuracy: 60.61%
Epoch [84/150], Loss: 0.0557 ;  Train Accuracy: 78.69% ; Test Accuracy: 61.93%
Epoch [85/150], Loss: 0.0539 ;  Train Accuracy: 79.92% ; Test Accuracy: 63.83%
Epoch [86/150], Loss: 0.0559 ;  Train Accuracy: 79.07% ; Test Accuracy: 68.18%
Epoch [87/150], Loss: 0.0536 ;  Train Accuracy: 80.59% ; Test Accuracy: 55.87%
Epoch [88/150], Loss: 0.0533 ;  Train Accuracy: 80.30% ; Test Accuracy: 67.80%
Epoch [89/150], Loss: 0.0550 ;  Train Accuracy: 79.40% ; Test Accuracy: 74.43%
Epoch [90/150], Loss: 0.0532 ;  Train Accuracy: 81.01% ; Test Accuracy: 71.21%
Epoch [91/150], Loss: 0.0541 ;  Train Accuracy: 80.16% ; Test Accuracy: 60.61%
Epoch [92/150], Loss: 0.0535 ;  Train Accuracy: 80.45% ; Test Accuracy: 59.28%
Epoch [93/150], Loss: 0.0529 ;  Train Accuracy: 80.54% ; Test Accuracy: 64.39%
Epoch [94/150], Loss: 0.0529 ;  Train Accuracy: 80.30% ; Test Accuracy: 72.73%
Epoch [95/150], Loss: 0.0528 ;  Train Accuracy: 81.58% ; Test Accuracy: 62.31%
Epoch [96/150], Loss: 0.0512 ;  Train Accuracy: 81.34% ; Test Accuracy: 63.45%
Epoch [97/150], Loss: 0.0512 ;  Train Accuracy: 81.30% ; Test Accuracy: 64.02%
Epoch [98/150], Loss: 0.0516 ;  Train Accuracy: 80.54% ; Test Accuracy: 68.56%
Epoch [99/150], Loss: 0.0512 ;  Train Accuracy: 81.11% ; Test Accuracy: 81.63%
Epoch [100/150], Loss: 0.0502 ;  Train Accuracy: 81.49% ; Test Accuracy: 64.02%
Epoch [101/150], Loss: 0.0496 ;  Train Accuracy: 81.49% ; Test Accuracy: 70.08%
Epoch [102/150], Loss: 0.0511 ;  Train Accuracy: 81.53% ; Test Accuracy: 63.26%
Epoch [103/150], Loss: 0.0495 ;  Train Accuracy: 81.82% ; Test Accuracy: 66.86%
Epoch [104/150], Loss: 0.0524 ;  Train Accuracy: 80.73% ; Test Accuracy: 72.54%
Epoch [105/150], Loss: 0.0490 ;  Train Accuracy: 82.39% ; Test Accuracy: 70.08%
Epoch [106/150], Loss: 0.0490 ;  Train Accuracy: 82.34% ; Test Accuracy: 66.86%
Epoch [107/150], Loss: 0.0498 ;  Train Accuracy: 81.30% ; Test Accuracy: 72.73%
Epoch [108/150], Loss: 0.0516 ;  Train Accuracy: 80.87% ; Test Accuracy: 67.05%
Epoch [109/150], Loss: 0.0476 ;  Train Accuracy: 82.91% ; Test Accuracy: 67.61%
Epoch [110/150], Loss: 0.0506 ;  Train Accuracy: 81.63% ; Test Accuracy: 69.70%
Epoch [111/150], Loss: 0.0483 ;  Train Accuracy: 82.95% ; Test Accuracy: 64.02%
