CEDAR
Epoch [63/200], Loss: 0.1152 ;  Train Accuracy: 78.93% ; Test Accuracy: 77.65%
Epoch [64/200], Loss: 0.1105 ;  Train Accuracy: 79.78% ; Test Accuracy: 77.46%
Epoch [65/200], Loss: 0.1049 ;  Train Accuracy: 80.78% ; Test Accuracy: 77.84%
Epoch [66/200], Loss: 0.1093 ;  Train Accuracy: 80.40% ; Test Accuracy: 78.22%
Epoch [67/200], Loss: 0.1109 ;  Train Accuracy: 80.07% ; Test Accuracy: 78.60%
Epoch [68/200], Loss: 0.1060 ;  Train Accuracy: 80.73% ; Test Accuracy: 79.17%
Epoch [69/200], Loss: 0.1039 ;  Train Accuracy: 81.77% ; Test Accuracy: 78.98%
Epoch [70/200], Loss: 0.1079 ;  Train Accuracy: 80.21% ; Test Accuracy: 79.55%
Epoch [71/200], Loss: 0.1031 ;  Train Accuracy: 80.97% ; Test Accuracy: 80.49%
Epoch [72/200], Loss: 0.1050 ;  Train Accuracy: 80.59% ; Test Accuracy: 78.60%
Epoch [73/200], Loss: 0.1038 ;  Train Accuracy: 80.78% ; Test Accuracy: 79.36%
Epoch [74/200], Loss: 0.1017 ;  Train Accuracy: 81.72% ; Test Accuracy: 79.55%
Epoch [75/200], Loss: 0.1022 ;  Train Accuracy: 81.49% ; Test Accuracy: 81.82%
Epoch [76/200], Loss: 0.1007 ;  Train Accuracy: 82.01% ; Test Accuracy: 82.39%
Epoch [77/200], Loss: 0.1028 ;  Train Accuracy: 81.30% ; Test Accuracy: 80.11%
Epoch [78/200], Loss: 0.1002 ;  Train Accuracy: 82.10% ; Test Accuracy: 81.06%
Epoch [79/200], Loss: 0.0996 ;  Train Accuracy: 82.62% ; Test Accuracy: 79.55%
Epoch [80/200], Loss: 0.0992 ;  Train Accuracy: 81.16% ; Test Accuracy: 80.68%
Epoch [81/200], Loss: 0.1001 ;  Train Accuracy: 82.53% ; Test Accuracy: 81.44%
Epoch [82/200], Loss: 0.1017 ;  Train Accuracy: 82.01% ; Test Accuracy: 82.39%
Epoch [83/200], Loss: 0.0954 ;  Train Accuracy: 82.72% ; Test Accuracy: 81.82%
Epoch [84/200], Loss: 0.0965 ;  Train Accuracy: 82.15% ; Test Accuracy: 82.20%
Epoch [85/200], Loss: 0.0942 ;  Train Accuracy: 83.10% ; Test Accuracy: 81.82%
Epoch [86/200], Loss: 0.0981 ;  Train Accuracy: 82.01% ; Test Accuracy: 81.82%
Epoch [87/200], Loss: 0.0963 ;  Train Accuracy: 83.29% ; Test Accuracy: 82.01%
Epoch [88/200], Loss: 0.0897 ;  Train Accuracy: 84.38% ; Test Accuracy: 81.82%
Epoch [89/200], Loss: 0.0923 ;  Train Accuracy: 83.81% ; Test Accuracy: 80.49%
Epoch [90/200], Loss: 0.0899 ;  Train Accuracy: 84.23% ; Test Accuracy: 83.90%
Epoch [91/200], Loss: 0.0868 ;  Train Accuracy: 84.52% ; Test Accuracy: 82.95%
Epoch [92/200], Loss: 0.0863 ;  Train Accuracy: 85.70% ; Test Accuracy: 82.95%
Epoch [93/200], Loss: 0.0889 ;  Train Accuracy: 84.99% ; Test Accuracy: 82.77%
Epoch [94/200], Loss: 0.0920 ;  Train Accuracy: 83.62% ; Test Accuracy: 84.66%
Epoch [95/200], Loss: 0.0865 ;  Train Accuracy: 84.90% ; Test Accuracy: 83.90%
Epoch [96/200], Loss: 0.0879 ;  Train Accuracy: 84.33% ; Test Accuracy: 83.14%
Epoch [97/200], Loss: 0.0845 ;  Train Accuracy: 85.32% ; Test Accuracy: 82.39%
Epoch [98/200], Loss: 0.0870 ;  Train Accuracy: 83.85% ; Test Accuracy: 83.90%
Epoch [99/200], Loss: 0.0859 ;  Train Accuracy: 85.70% ; Test Accuracy: 82.95%
Epoch [100/200], Loss: 0.0783 ;  Train Accuracy: 86.22% ; Test Accuracy: 85.61%
Epoch [101/200], Loss: 0.0843 ;  Train Accuracy: 85.04% ; Test Accuracy: 84.47%
Epoch [102/200], Loss: 0.0841 ;  Train Accuracy: 85.46% ; Test Accuracy: 84.47%
Epoch [103/200], Loss: 0.0803 ;  Train Accuracy: 86.55% ; Test Accuracy: 83.33%
Epoch [104/200], Loss: 0.0831 ;  Train Accuracy: 85.75% ; Test Accuracy: 85.61%
Epoch [105/200], Loss: 0.0816 ;  Train Accuracy: 85.70% ; Test Accuracy: 85.61%
Epoch [106/200], Loss: 0.0803 ;  Train Accuracy: 86.22% ; Test Accuracy: 86.55%
Epoch [107/200], Loss: 0.0802 ;  Train Accuracy: 86.51% ; Test Accuracy: 86.17%
Epoch [108/200], Loss: 0.0769 ;  Train Accuracy: 86.74% ; Test Accuracy: 84.09%
Epoch [109/200], Loss: 0.0784 ;  Train Accuracy: 86.60% ; Test Accuracy: 84.66%
Epoch [110/200], Loss: 0.0761 ;  Train Accuracy: 86.55% ; Test Accuracy: 85.80%
Epoch [111/200], Loss: 0.0785 ;  Train Accuracy: 86.46% ; Test Accuracy: 86.74%
Epoch [112/200], Loss: 0.0755 ;  Train Accuracy: 87.22% ; Test Accuracy: 86.17%
Epoch [113/200], Loss: 0.0759 ;  Train Accuracy: 86.60% ; Test Accuracy: 84.47%
Epoch [114/200], Loss: 0.0759 ;  Train Accuracy: 86.70% ; Test Accuracy: 81.06%
Epoch [115/200], Loss: 0.0728 ;  Train Accuracy: 86.79% ; Test Accuracy: 82.01%
Epoch [116/200], Loss: 0.0716 ;  Train Accuracy: 87.78% ; Test Accuracy: 82.58%
Epoch [117/200], Loss: 0.0725 ;  Train Accuracy: 87.93% ; Test Accuracy: 84.66%
Epoch [118/200], Loss: 0.0732 ;  Train Accuracy: 87.69% ; Test Accuracy: 86.17%
Epoch [119/200], Loss: 0.0661 ;  Train Accuracy: 88.92% ; Test Accuracy: 87.50%
Epoch [120/200], Loss: 0.0712 ;  Train Accuracy: 88.64% ; Test Accuracy: 86.55%
Epoch [121/200], Loss: 0.0668 ;  Train Accuracy: 88.64% ; Test Accuracy: 77.65%
Epoch [122/200], Loss: 0.0672 ;  Train Accuracy: 89.39% ; Test Accuracy: 84.47%
